OBJECTID,from_lng_mars,from_lat_mars,to_lng_mars,to_lat_mars,isOK
693,120.266676,31.568966,120.270765,31.53523,1
694,120.2696262,31.5591313,120.2699223,31.55542749,1
695,120.266836,31.568162,120.262875,31.584614,1
696,120.262419,31.584499,120.266695,31.568189,1
697,120.2628131,31.58441875,120.2635635,31.58551546,1
698,120.2635635,31.58551546,120.2751589,31.59572352,1
700,120.2751589,31.59572352,120.2839122,31.60497215,1
701,120.2787991,31.59864156,120.2796246,31.59926173,1
702,120.276394,31.596733,120.278775,31.598631,1
703,120.2786267,31.59887481,120.276677,31.59724049,1
704,120.278693,31.598814,120.276754,31.597325,1
706,120.2794376,31.59947746,120.2786267,31.59887481,1
707,120.283835,31.604746,120.284054,31.605618,1
708,120.284145,31.60752245,120.2839116,31.60560836,1
709,120.2840721,31.60800378,120.2827165,31.60240354,1
711,120.284417,31.611207,120.284606,31.611949,1
712,120.284288,31.608343,120.284288,31.609678,1
713,120.284646,31.612084,120.284743,31.612352,1
717,120.348483,31.56156807,120.3461242,31.56033297,1
718,120.3515083,31.56266148,120.3478767,31.56735827,1
719,120.3556447,31.55719688,120.3515083,31.56266148,1
720,120.3450678,31.57107665,120.3440675,31.57178283,1
721,120.3463976,31.5694904,120.3450678,31.57107665,1
722,120.3387296,31.57427604,120.3374363,31.57491292,1
723,120.3483257,31.56651923,120.3541456,31.55900714,1
724,120.3467141,31.56864013,120.3483257,31.56651923,1
725,120.3478767,31.56735827,120.3465967,31.56905104,1
726,120.3462743,31.56901995,120.3509548,31.56293492,1
727,120.3478247,31.5676128,120.3465967,31.56905104,1
728,120.2920966,31.52366551,120.3020361,31.52898943,1
729,120.2854663,31.52515704,120.2920966,31.52366551,1
730,120.2933883,31.52395686,120.2867471,31.52498817,1
731,120.3018357,31.52894672,120.2933883,31.52395686,1
732,120.309472,31.534585,120.301993,31.529077,1
733,120.30934,31.534218,120.309482,31.534329,1
734,120.306047,31.531641,120.309282,31.534175,1
735,120.308939,31.534282,120.305837,31.53183,1
736,120.309322,31.534576,120.309081,31.534392,1
738,120.313787,31.53787646,120.3095197,31.53464749,1
739,120.3148743,31.53875209,120.313787,31.53787646,1
740,120.3245186,31.54603906,120.313787,31.53787646,1
741,120.315285,31.539091,120.314932,31.538796,1
742,120.3157264,31.53907015,120.3169539,31.54000956,1
743,120.3167897,31.54024198,120.3154889,31.53925414,1
744,120.3169539,31.54000956,120.3185008,31.5411935,1
745,120.3237544,31.54517524,120.3250071,31.54615719,1
746,120.3228265,31.54450204,120.3237544,31.54517524,1
747,120.3234787,31.54532764,120.3226218,31.54470587,1
748,120.3246086,31.54627065,120.3234787,31.54532764,1
749,120.3246052,31.54596662,120.3319677,31.55228668,1
750,120.332329,31.552702,120.3245186,31.54603906,1
751,120.3277438,31.5486017,120.3286734,31.54952445,1
752,120.327668,31.548535,120.327728,31.5486,1
753,120.3319677,31.55228668,120.334626,31.55433233,1
754,120.3368014,31.5557888,120.332329,31.552702,1
755,120.334626,31.55433233,120.3394741,31.55700727,1
756,120.3400723,31.55741314,120.3368014,31.5557888,1
757,120.3394741,31.55700727,120.3475246,31.56096258,1
758,120.3461242,31.56033297,120.3400723,31.55741314,1
759,120.342494,31.558724,120.339994,31.557568,1
760,120.3475246,31.56096258,120.3552231,31.5646079,1
761,120.2931338,31.52373839,120.2947738,31.52414877,1
762,120.2940223,31.52416004,120.2864771,31.52517388,1
763,120.294444,31.524294,120.294126,31.524198,1
