OBJECTID,access,bridge,from_,highway,key,lanes,length,maxspeed,name,oneway,osmid,ref,to,tunnel,Shape_Length,from_lat,from_lng,to_lng,to_lat,from_lat_mars,from_lng_mars,to_lat_mars,to_lng_mars
1154, , ,2302243856,secondary,0, ,15.689641983368373, ,湖滨路,True,221169221, ,2302243860, ,15.651669288088947,31.5434352,120.2792361,120.2792358,31.5432941,31.541504098469602,120.28381556622489,31.541362984356198,120.28381525393961
1155, , ,2302243856,primary,0,3,549.6008952447254, ,太湖大道,True,222090109, ,2414155592, ,550.9501587109324,31.5434352,120.2792361,120.2734412,31.5432364,31.541504098469602,120.28381556622489,31.541299658937664,120.27801832945755
1156, , ,2414152439,secondary,0, ,294.7935191749276, ,湖滨路,True,221169221, ,2302243856, ,294.08064008756315,31.5460853,120.2791631,120.2792361,31.5434352,31.544154375397987,120.28374275668301,31.541504098469602,120.28381556622489
1157, , ,2302243860,secondary,0, ,166.94783755283794, ,湖滨路,True,221169221, ,2461167006, ,166.54358455921252,31.5432941,120.2792358,120.2792557,31.541792800000003,31.541362984356198,120.28381525393961,31.53986155724384,120.28383503509764
1158, , ,2302243863,secondary,0,2,17.434033318538635, ,中南路,True,398360074, ,2302243867, ,17.476937224346262,31.539748100000004,120.2798153,120.2799989,31.539758000000003,31.537817251516046,120.28439475315342,31.537827351770694,120.28457845300267
1159, , ,2302243875,secondary,0, ,124.46134861968979, ,湖滨路,True,221169221, ,2302243863, ,124.24152664947123,31.5407891,120.2793392,120.2798153,31.539748100000004,31.53885784555625,120.28391849189713,31.537817251516046,120.28439475315342
1160, , ,2302243867,secondary,0,2,579.155232128333, ,中南路,True,398360074, ,2409650399, ,580.5736215301603,31.539758000000006,120.2799989,120.2861041,31.5399886,31.537827351770698,120.28457845300267,31.53806518683199,120.29068767217522
1161, , ,2436267799,secondary,0,2,962.5099425964204, ,五湖大道,True,221169222, ,2302243867, ,960.6461645250522,31.531552100000006,120.282429,120.2799989,31.539758000000003,31.529623307122154,120.28700927689634,31.537827351770694,120.28457845300267
1162, , ,4220614553,secondary,0, ,271.82519536631673, ,建筑路,False,64234192, ,2302243873, ,272.4846990414528,31.5508142,120.2764699,120.279328,31.550917699999996,31.54888096524353,120.28104872764082,31.54898739273965,120.28390815700338
1163, , ,2302243873,secondary,0, ,537.8218253169989, ,湖滨路,True,221169221, ,2414152439, ,536.5245534938724,31.5509177,120.279328,120.2791631,31.5460853,31.548987392739654,120.28390815700338,31.544154375397987,120.28374275668301
1164, , ,4220614548,secondary,0, ,161.7089543738294, ,湖滨路,True,221169221, ,2302243873, ,161.3228089158598,31.5523668,120.2794699,120.279328,31.550917699999996,31.55043677135503,120.28405025541275,31.54898739273965,120.28390815700338
1165, , ,2461167006,secondary,0, ,112.07683804123388, ,湖滨路,True,221169221, ,2302243875, ,111.80993975619171,31.541792800000003,120.2792557,120.2793392,31.5407891,31.53986155724384,120.28383503509764,31.53885784555625,120.28391849189713
1166, , ,2302256000,residential,0, ,446.21392328266563, ,崇宁弄,False,221170268, ,2302255934, ,445.1826210020428,31.5760992,120.30322,120.3028821,31.580061199999996,31.574204159910813,120.3078243007104,31.578165813549003,120.30748631804504
1167, , ,3017317253,secondary,0,3,68.81720439133929, ,学前东路,True,147964625, ,2302257651, ,68.9638810827381,31.573544800000004,120.2995691,120.2988673,31.573388399999995,31.571643609047126,120.30416873533001,31.571486077213432,120.30346610543958
1168, , ,2990493594,secondary,0, ,88.68930866933233, ,中山路,False,43316199, ,2302257657, ,88.67766690502542,31.5748174,120.2959842,120.2966261,31.5742368,31.572910665281473,120.30057991266935,31.572331015949914,120.30122245892288
1169, , ,2302262892,residential,0, ,122.27201815682406, ,勤学路,True,281803226, ,3017321315, ,122.13452695463577,31.5721184,120.2962354,120.2968881,31.5711799,31.570211885105422,120.30083115103703,31.56927433153753,120.3014844827959
1170, , ,2567493490,secondary,0,2,184.2370721214746, ,学前街,False,47701350, ,2302262892, ,184.6433516776623,31.5719769,120.29434170000002,120.2962354,31.5721184,31.57006751416285,120.29893543939696,31.570211885105422,120.30083115103703
1171, , ,2864467179,secondary,0, ,70.06852326295969, ,中山路,False,43316199, ,2302262900, ,70.00621002796349,31.5686559,120.3022663,120.3018508,31.5691772,31.566758803770224,120.30686876619208,31.56727945016898,120.30645279855614
1172, , ,2302272248,secondary,0, ,70.4277667147844, ,中山路,False,43316199, ,2302270772, ,70.26407340710729,31.579792200000004,120.294834,120.2949432,31.5791657,31.577884004086226,120.29942892314878,31.57725763441719,120.29953818317729
