OBJECTID,access,bridge,from_,highway,key,lanes,length,maxspeed,name,oneway,osmid,ref,to,tunnel,Shape_Length
75, ,yes,2301327817,secondary,0,2,180.45610020053581, ,"['清扬路', '文化宫桥']",False,"[47688457, 47701386]", ,606778663, ,180.093697864583420
76, , ,1684446282,secondary,0,3,299.4508680516267,40,解放南路,True,221059607, ,606778663, ,300.014661148108640
77, , ,606778723,secondary,0,3,54.70538434494227,40,解放南路,True,221059607, ,2425431062, ,54.579436161373813
78, , ,2301244391,secondary,0,3,41.21805216034086,40,解放南路,True,221059607, ,606778723, ,41.131838844813316
79, , ,2447813782,primary,0, ,172.57416085007068, ,五爱路,False,221071487, ,606790266, ,172.244693362190080
80, , ,2302169031,primary,0, ,175.87320719904045, ,五爱北路,False,244012146, ,606790266, ,175.461567278916420
81, , ,606790266,secondary,0,2,170.98604161690614,40,人民西路,True,180867668, ,1913213697, ,171.388701110917110
82, , ,2447813791,secondary,0,2,370.98702865881296,40,人民西路,True,180867668, ,606790266, ,371.854901098262870
83, , ,2514821491,primary,0,4,68.03374051369961, ,运河西路,False,223848720, ,606790312, ,67.914799277205219
84, , ,3022627487,secondary,0, ,651.5085699757519, ,惠河路,False,64226348, ,606790312, ,652.011133685976570
85, , ,3025097394,primary,0,4,545.14915769743, ,运河西路,False,223848720, ,606790312, ,543.982843924420880
86, , ,4011232304,secondary,0, ,50.434394860412255, ,惠河路,False,64226348, ,606790327, ,50.464688722726613
87, , ,606790327,tertiary,0, ,36.097692218672535, ,青山东路,True,281800883, ,4011232307, ,36.055106174759111
88, , ,2857765985,secondary,0, ,15.045394112327276, ,惠河路,False,64226348, ,606790327, ,15.055090013440820
90, , ,606790332,secondary,0, ,11.314455616042649, ,青祁路,True,64231369, ,2530357640, ,11.287912140718682
91, , ,2409522606,primary,0, ,30.999871239062212, ,梁清路,True,245936329, ,606790332, ,31.071975940653743
92, , ,2857762578,secondary,0, ,274.23057989109424, ,青祁路,True,64231369, ,606790332, ,273.621535521746470
93, , ,4198794334,secondary,0, ,7.538853684606769, ,长江北路,False,222611965, ,606794887, ,7.528651919857239
94, , ,606794887,secondary,0,2,218.85357853082746, ,学前东路,True,222610826, ,2315620000, ,219.366887269189680
95, , ,2315619985,secondary,0,2,115.49536173741532, ,学前东路,True,222610826, ,606794887, ,115.570266197502450
96,yes,yes,606794905,secondary,0,3,789.5115204350235, ,"['槐古大桥', '学前东路']",True,"[147964624, 147964625, 147859410]", ,4198794340, ,791.381284107144890
97, , ,606794905,secondary,0,2,9.784338740628975, ,塘南路,True,156153638, ,4198794422, ,9.762601010874334
98, , ,2447798273,secondary,0,2,179.55249477799842, ,塘南路,True,156153638, ,606794905, ,179.149030334168490
99, , ,4198794425,secondary,0,3,11.747468564223109, ,学前东路,True,147859410, ,606794905, ,11.772929656313293
100, , ,606798516,tertiary,0, ,88.23808895714339, ,后西溪,True,47701151, ,606939896, ,88.392078916423600
101, , ,2384964937,secondary,0, ,75.90858103955796, ,中山路,False,43316199, ,606798516, ,75.728483278812945
102, , ,2857793019,secondary,0, ,62.6966416200339, ,中山路,False,43316199, ,606798516, ,62.596089715183155
103, , ,2772826050,tertiary,0, ,114.41543180308996, ,崇宁路,False,43316204, ,606798516, ,114.665647411656860
104, , ,2302272251,secondary,0,2,235.86103880276008,40,人民中路,False,64226458, ,606798520, ,236.375704401714070
105, , ,2302266414,secondary,0,2,213.9822349419867,40,人民中路,False,64226458, ,606798520, ,214.413554523737450
106, , ,2384964937,secondary,0, ,155.07298179585098, ,中山路,False,43316199, ,606798520, ,154.704787415781850
107, , ,2302270772,secondary,0, ,164.7000333824553, ,中山路,False,43316199, ,606798520, ,164.317783853644640
108, , ,606948823,secondary,0, ,314.2507910096407, ,梁溪路,False,48418342, ,606816579, ,314.944554400169640
109, , ,3025097394,primary,0,4,787.5164745051075, ,运河西路,False,223848720, ,606816579, ,786.270295547696150
110, , ,3022232872,primary,0,4,388.5015395434961, ,运河西路,False,223848720, ,606816579, ,388.302451675594340
111, , ,606816631,primary,0,2,185.33113076368818, ,运河西路,True,221227661, ,2310704167, ,185.240248054029020
112, ,yes,2302228983,primary,0,4,479.0016628608022, ,运河西路,False,"[223848720, 223848719]", ,606816631, ,478.745752467505380
113, , ,606939896,tertiary,0, ,62.81211149406601, ,后西溪,True,47701151, ,2384964934, ,62.958587989468519
114, , ,606939898,tertiary,0, ,101.50608984197967, ,后西溪,True,47701151, ,2447803436, ,101.748106381624720
115, , ,2567497671,tertiary,0, ,136.70391329706212, ,健康路,False,47701166, ,606939898, ,136.391068517960260
116, , ,2857718713,tertiary,0, ,71.14687023449355, ,健康路,False,47701166, ,606939898, ,70.983754462255206
117, , ,2384964934,tertiary,0, ,215.684996716473, ,后西溪,True,47701151, ,606939898, ,216.193208393592300
118, , ,606939899,secondary,0,3,154.6543499501088,40, 解放西路,True,221059606, ,1913213691, ,154.305727895032480
119, , ,2857718715,secondary,0,3,92.75136189180118,40, 解放西路,True,221059606, ,606939899, ,92.535412098945017
120, , ,2857718717,tertiary,0, ,83.91143011595427, ,后西溪,True,47701151, ,606939899, ,84.113244891002708
121, , ,2857796473,tertiary,0, ,54.544350900356335, ,健康路,False,47701166, ,606939922, ,54.416970060686950
122, , ,606939923,tertiary,0, ,185.87938193286297, ,健康路,False,47701166, ,606939922, ,185.451199658509780
123, , ,1913213687,secondary,0,2,52.56037416393785, ,学前街,False,47701350, ,606939922, ,52.684740458416144
124, , ,2567493490,secondary,0,2,205.77910425344965, ,学前街,False,47701350, ,606939922, ,206.272920613797850
125, ,yes,2515936892,secondary,0, ,65.18560166416813, ,体育场桥,False,47701183, ,606939923, ,65.089422582969675
126, , ,606939923,secondary,0,3,246.98477054353071,40,解放南路,True,221059607, ,740423830, ,247.167478013349300
127, , ,606939971,secondary,0, ,228.15902686110837, ,红星路,True,47702293, ,2697574034, ,227.606019230516380
128, , ,2697574059,tertiary,0, ,152.10134698350393, ,健康路,False,227905083, ,606939971, ,152.469272379795460
129, , ,2697574061,tertiary,0, ,16.855785296808232, ,健康路,False,227905083, ,606939971, ,16.896880759328756
130, , ,2302213244,secondary,0, ,307.10232439562844, ,健康路,True,264083433, ,606939971, ,306.441247217871930
131, , ,2302224143,tertiary,0, ,75.0358160045419, ,健康路,False,146661804, ,606939973, ,75.207670232067912
132, , ,2523819275,tertiary,0, ,162.21523688192684, ,健康路,False,146661804, ,606939973, ,162.588912907081610
133, , ,606940258,primary,0,3,195.49462299281404, ,运河东路,True,223848638, ,3027736271, ,195.335024617351960
134, , ,2305306724,primary,0,3,202.78794963536564, ,运河东路,True,223848638, ,606940258, ,202.684024329328390
135, , ,606940264,primary,0,3,84.27956811847707, ,运河东路,True,419888312, ,2857775757, ,84.414174726130085
136, , ,2302177331,primary,0,3,285.1606963669034, ,运河东路,True,223848638, ,606940264, ,284.689499728079110
137, , ,2302272248,secondary,0, ,197.79522484594065, ,中山路,False,43316199, ,606940568, ,197.336241440285510
138, , ,1772577572,secondary,0, ,136.27472411824266, ,中山路,False,43316199, ,606940568, ,135.974025226589190
139, , ,2480797916,primary,0, ,119.07533678439698, ,县前东街,False,64226712, ,606940568, ,119.355778760100420
140, , ,2383821901,primary,0,2,298.8864177380133, ,县前西街,True,64226686, ,606940568, ,299.565814991645310
141, ,yes,2305254894,secondary,0, ,305.82704230810594, ,"['工运桥', '工运路']",False,"[147964576, 47701323, 147964583]", ,606940767, ,305.415122134968500
142, , ,606940770,secondary,0, ,204.04944004013987, ,工运路,False,47701323, ,606940767, ,203.991316602536870
143, , ,4763018953,secondary,0,2,267.35027973186425,40,解放东路,False,64226766, ,606940770, ,267.961762908050220
144, , ,2480797913,secondary,0,2,75.73753376280514,40,解放东路,False,64226766, ,606940770, ,75.808638933904049
145, , ,2383821907,residential,0, ,238.96472972105462, ,书院弄,False,302560888, ,606940770, ,238.934532418509950
146, ,yes,2305257330,primary,0,4,283.4108514863142, ,"['县前东街', '高墩桥']",False,"[47701329, 147964597, 221307918]", ,606940788, ,283.210663355108980
147, , ,2302275874,primary,0, ,54.054537697709776, ,县前东街,False,64226712, ,606940833, ,54.159343792118527
148, , ,2305257986,primary,0, ,43.32146246808375, ,县前东街,False,64226712, ,606940833, ,43.417249094528501
149, , ,606944882,tertiary,0, ,401.5127834503234, ,新生路,False,47701824, ,606940833, ,400.647005692653180
150, , ,606940835,primary,0,2,10.193077241252826, ,县前西街,True,64226686, ,4198794147, ,10.217160607863025
151, , ,606940835,secondary,0,3,205.98655288890535,40, 解放西路,True,221059606, ,2383822155, ,205.619947722112610
152, ,yes,2303801232,primary,0,2,315.1675615335539, ,永定桥,True,"[229839122, 221351101, 221351103]", ,606940835, ,315.889528964294870
